time,target_spd,cur_spd,APS,BPS,signal,action,error,bonus
0.0,0.0,0.0,14.088857142857142,0.0,14.088857142857142,1.4088857142857143,0.0,2
0.1,0.02,0.05,17.224888888888888,0.0,17.224888888888888,0.3136,-0.031,2
0.2,0.16,0.45,18.394000000000002,0.0,18.394000000000002,0.1169,-0.288,2
0.3,0.36,0.96,20.75711111111111,0.0,20.75711111111111,0.2363,-0.603,2
0.4,0.8,1.52,22.307999999999996,0.0,22.307999999999996,0.1551,-0.718,2
0.5,1.29,2.11,22.22377777777778,0.0,22.22377777777778,-0.008400000000000001,-0.822,2
0.6,1.79,2.72,19.306727272727272,0.0,19.306727272727272,-0.29169999999999996,-0.931,2
0.7,2.41,3.26,17.01211111111111,0.0,17.01211111111111,-0.22949999999999998,-0.848,2
0.8,3.06,3.68,16.437000000000005,0.0,16.437000000000005,-0.057499999999999996,-0.62,2
0.9,3.7,4.19,16.437,0.0,16.437,-0.0,-0.493,2
1.0,4.33,4.68,16.437000000000005,0.0,16.437000000000005,0.0,-0.354,2
1.1,4.83,5.12,16.437,0.0,16.437,-0.0,-0.295,2
1.2,5.31,5.57,16.62318181818182,0.0,16.62318181818182,0.0186,-0.258,2
1.3,5.79,6.05,18.296777777777777,0.0,18.296777777777777,0.1674,-0.257,2
1.4,6.28,6.56,18.980999999999998,0.0,18.980999999999998,0.0684,-0.285,2
1.5,6.76,7.09,18.980999999999998,0.0,18.980999999999998,0.0,-0.325,2
1.6,7.24,7.57,18.980999999999998,0.0,18.980999999999998,0.0,-0.329,2
1.7,7.7,8.09,18.980999999999998,0.0,18.980999999999998,0.0,-0.392,2
1.8,8.07,8.65,18.980999999999998,0.0,18.980999999999998,0.0,-0.578,2
1.9,8.53,9.16,18.424444444444443,0.0,18.424444444444443,-0.055700000000000006,-0.635,2
2.0,9.01,9.64,17.709,0.0,17.709,-0.0715,-0.627,2
2.1,9.5,10.11,17.709,0.0,17.709,0.0,-0.612,2
2.2,9.96,10.61,17.709,0.0,17.709,0.0,-0.65,2
2.3,10.32,11.1,17.709,0.0,17.709,0.0,-0.785,2
2.4,10.78,11.56,17.709,0.0,17.709,0.0,-0.783,2
2.5,11.25,12.05,17.709,0.0,17.709,0.0,-0.795,2
2.6,11.61,12.52,17.227818181818183,0.0,17.227818181818183,-0.0481,-0.908,2
2.7,12.07,12.94,17.122,0.0,17.122,-0.0106,-0.872,2
2.8,12.53,13.39,17.332545454545457,0.0,17.332545454545457,0.0211,-0.862,2
2.9,12.89,13.85,17.709,0.0,17.709,0.0376,-0.957,2
3.0,13.36,14.32,17.709,0.0,17.709,0.0,-0.963,2
3.1,13.84,14.78,17.709,0.0,17.709,0.0,-0.939,2
3.2,14.3,15.23,17.709,0.0,17.709,0.0,-0.929,2
3.3,14.67,15.66,17.709,0.0,17.709,0.0,-0.99,2
3.4,15.13,16.1,17.709,0.0,17.709,0.0,-0.969,2
3.5,15.61,16.57,17.709,0.0,17.709,0.0,-0.959,2
3.6,16.09,17.0,17.709,0.0,17.709,0.0,-0.907,2
3.7,16.58,17.42,17.78511111111111,0.0,17.78511111111111,0.0076,-0.84,2
3.8,17.06,17.83,18.820909090909087,0.0,18.820909090909087,0.1036,-0.773,2
3.9,17.54,18.27,19.441111111111113,0.0,19.441111111111113,0.062,-0.727,2
4.0,18.02,18.65,19.666,0.0,19.666,0.0225,-0.628,2
4.1,18.51,19.06,19.666,0.0,19.666,0.0,-0.556,2
4.2,18.99,19.38,19.666,0.0,19.666,0.0,-0.394,2
4.3,19.45,19.61,19.666,0.0,19.666,0.0,-0.161,2
4.4,19.81,20.06,18.725454545454546,0.0,18.725454545454546,-0.09409999999999999,-0.243,2
4.5,20.28,20.5,18.524,0.0,18.524,-0.0201,-0.221,2
4.6,20.76,20.75,21.63172727272727,0.0,21.63172727272727,0.3108,0.012,2
4.7,21.24,21.06,23.320111111111114,0.0,23.320111111111114,0.1688,0.185,2
4.8,21.71,21.47,26.18963636363636,0.0,26.18963636363636,0.28700000000000003,0.238,2
4.9,22.07,21.97,27.102,0.0,27.102,0.0912,0.099,2
5.0,22.53,22.38,27.101999999999997,0.0,27.101999999999997,-0.0,0.148,2
5.1,23.01,22.76,27.102,0.0,27.102,0.0,0.254,2
5.2,23.5,23.2,27.101999999999997,0.0,27.101999999999997,-0.0,0.297,2
5.3,23.98,23.71,27.099444444444444,0.0,27.099444444444444,-0.00030000000000000003,0.265,2
5.4,24.46,24.11,25.17781818181818,0.0,25.17781818181818,-0.19219999999999998,0.354,2
5.5,24.92,24.48,23.335111111111107,0.0,23.335111111111107,-0.1843,0.448,2
5.6,25.29,24.89,21.916,0.0,21.916,-0.1419,0.399,2
5.7,25.75,25.25,21.916,0.0,21.916,0.0,0.5,2
5.8,26.21,25.62,21.916,0.0,21.916,0.0,0.589,2
5.9,26.55,25.98,21.304555555555552,0.0,21.304555555555552,-0.0611,0.574,2
6.0,26.88,26.3,21.16872727272727,0.0,21.16872727272727,-0.013600000000000001,0.581,2
6.1,27.18,26.62,19.94033333333333,0.0,19.94033333333333,-0.12279999999999999,0.562,2
