,episode,score,score_avg
0,1.0,-306444.54005931003,-306444.54005931003
1,2.0,-334937.20508561266,-320690.8725724614
2,3.0,-293403.8943452574,-311595.2131633934
3,4.0,-298349.7382483334,-308283.8444346284
4,5.0,-507734.0724521535,-348173.8900381334
5,6.0,-511241.64455829334,-375351.8491248267
6,7.0,-511328.33086939,-394777.0608026215
7,8.0,-511307.72262268607,-409343.3935301296
8,9.0,-511374.92293512344,-420680.23013068445
9,10.0,-511353.6152757999,-429747.56864519604
10,11.0,-511304.09568741097,-437161.7983763065
